TEMP_ID,SEX,DEPARTMENT,TCAS ROUND,FIRST_GPA,SECOND_GPA,GPAX,COMP_PROG_REG_SEM,COMP_PROG_GRADE,COMP_PROG_ATMPT,EXPLORE_ENG_GRADE,EXPLORE_ENG_ATMPT,ENG_MATERIAL_GRADE,ENG_MATERIAL_ATMPT,GEN_CHEM_GRADE,GEN_CHEM_ATMPT,GEN_CHEMLAB_GRADE,GEN_CHEMLAB_ATMPT,ENG_DRAWING_GRADE,ENG_DRAWING_ATMPT
A081,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.37,3.44,3.40,1,A,1,A,1,C,1,C+,1,B+,1,B,1
A082,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.76,3.71,3.74,1,B+,1,A,1,A,1,B+,1,B+,1,A,1
A083,M,ภาควิชาวิศวกรรมเคมี,TCAS3 Admissions,2.66,2.35,2.51,1,A,1,D,1,C+,1,D+,1,C+,1,B,1
A084,M,ภาควิชาวิศวกรรมสิ่งแวดล้อม,TCAS3 Admissions,2.78,2.00,2.51,1,W,2,B+,1,C,1,D+,1,C+,1,D+,1
A085,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.58,3.41,3.50,1,B+,1,A,1,A,1,B,1,B+,1,A,1
A086,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.34,2.12,2.46,1,B,1,B,1,C,1,C,1,B+,1,C+,1
A087,M,ภาควิชาวิศวกรรมนิวเคลียร์,TCAS3 Admissions,2.09,1.75,1.90,1,C,1,A,1,B,2,D,1,C+,1,C,1
A088,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.18,2.62,3.07,1,B+,1,A,1,B+,1,C+,1,C+,1,B+,1
A089,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.53,3.53,3.53,1,B,1,A,1,B+,1,B,1,B+,1,A,1
A090,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,3.13,2.62,2.89,1,C+,1,A,1,B+,1,C+,1,B,1,B,1
A091,M,ภาควิชาวิศวกรรมสำรวจ,TCAS3 Admissions,1.15,2.44,2.23,1,W,1,B+,2,D,1,W,1,D+,1,,
A092,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.63,2.03,2.35,1,C+,1,A,1,C,1,C,1,B,1,C,1
A093,F,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.06,2.77,2.38,1,D,2,A,1,D,1,C+,1,B,1,C,1
A094,F,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.21,2.46,2.32,1,D,1,A,1,C,1,C,1,B+,1,D,1
A095,F,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.29,3.35,3.37,1,B+,1,A,1,B+,1,B,1,B+,1,B,1
A096,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.87,3.03,3.10,1,D+,1,A,1,D+,1,D+,1,C,1,A,1
A097,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.61,3.56,3.58,1,A,1,A,1,C+,1,B+,1,A,1,B,1
A098,M,ภาควิชาวิศวกรรมสิ่งแวดล้อม,TCAS3 Admissions,2.21,2.24,2.37,1,C,1,A,1,D+,1,C,1,B,1,C+,1
A099,M,ภาควิชาวิศวกรรมสำรวจ,TCAS3 Admissions,2.13,1.96,2.18,1,B+,1,C+,1,D+,1,D,1,C+,1,B+,1
A100,M,ภาควิชาวิศวกรรมเคมี,TCAS3 Admissions,2.47,1.86,2.21,1,D+,1,A,1,C,1,D,1,C,1,D+,1
A101,F,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.18,3.21,3.19,1,B,1,A,1,B+,1,B,1,A,1,B+,1
A102,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.92,3.74,3.83,1,A,1,A,1,B+,1,A,1,A,1,C+,1
A103,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.68,3.62,3.65,1,B+,1,A,1,A,1,B+,1,B+,1,B,1
A104,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.53,3.68,3.60,1,C,1,B+,1,B+,1,B,1,B,1,A,1
A105,M,ภาควิชาวิศวกรรมโลหการ,TCAS3 Admissions,1.97,1.62,1.94,1,W,1,D+,1,C,1,C+,1,B,1,F,1
A106,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.92,3.91,3.92,1,B+,1,A,1,A,1,A,1,A,1,B+,1
A107,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,3.16,2.74,2.94,1,W,1,A,1,B,1,C+,1,B+,1,D,1
A108,F,ภาควิชาวิศวกรรมเคมี,TCAS3 Admissions,2.66,2.50,2.58,1,C,1,A,1,C+,1,C+,1,B,1,C,1
A109,M,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,3.68,3.91,3.79,1,A,1,A,1,B+,1,A,1,A,1,B+,1
A110,M,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,3.68,3.74,3.71,1,A,1,A,1,B+,1,A,1,A,1,A,1
A111,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.00,2.68,2.85,1,C,1,A,1,C+,1,C,1,B,1,C+,1
A112,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.34,3.18,3.26,1,B,1,A,1,B+,1,C+,1,B+,1,C,1
A113,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.26,2.24,2.78,1,B,1,A,1,C+,1,D+,1,C,1,C,1
A114,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.45,3.53,3.49,1,A,1,B,1,B+,1,C+,1,A,1,A,1
A115,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.84,4.00,3.93,1,A,1,A,1,A,1,A,1,A,1,A,1
A116,M,ภาควิชาวิศวกรรมสำรวจ,TCAS3 Admissions,1.79,2.11,2.10,1,D+,1,B+,1,D+,1,F,1,B,1,B,1
A117,F,ภาควิชาวิศวกรรมเคมี,TCAS3 Admissions,2.58,2.12,2.36,1,D,1,A,1,C,1,D,1,B+,1,D,1
A118,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.53,3.82,3.67,1,D+,1,A,1,B+,1,B+,1,A,1,A,1
A119,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.13,2.09,2.14,1,F,1,A,1,C+,1,D+,1,B+,1,D,1
A120,F,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,2.92,2.65,2.79,1,B+,1,B,1,B+,1,C+,1,B,1,B,1
A121,M,ภาควิชาวิศวกรรมโลหการ,TCAS3 Admissions,1.27,2.21,1.75,1,D,2,D+,1,C+,1,C,1,C+,1,A,1
